ID_Bling;Codigo_Bling;Descricao_Bling
16454575122;COOKI001VEGBIT;COOKIE BITES 90G - VEGFOOD
16454567936;BROWN001BITVEG	;BROWNIES BITES 90G - VEGFOOD
16454564592;BROWN001LOWVEG	;BROWNIE LOW CARB 60G - VEGFOOD
16454536500;ALFJ001DOCELEITE	;ALFAJOR 50G - VEGFOOD SABORES:DOCE DE LEITE
16454536495;ALFJ001BRIGADEIRO	;ALFAJOR 50G - VEGFOOD SABORES:BRIGADEIRO
16451631228;OBJT001AVATIM        ;VARETAS MARROM (PCT C/ 12 UNID.) - AVATIM
16451630638;OBJT001PLANT        ;VASO COM BAMBU
16447793994;SABOLIQ001BAMB	;SABONETE LIQUIDO 400ML - AVATIM FRAGRANCIA:BAMBU
16443965008;PSY001        ;Psyllium OCEAN DROP 300g
16443288133;SAB001BARR        ;Sabonete em Barra AVATIM Amora & Pitanga 3x100g
16443192302;PERF003CASC        ;Perfume de Ambientes AVATIM Cascas & Folhas 200ml
16443192287;PERF003PIT        ;Perfume de Ambientes AVATIM Pitanga 200ml
16398744018;MACA001        ;Maca Peruana Macapure CENTRAL NUTRITION 150g
16398743916;PIZZ001;PIZZA VEGANA BAIANA 215G
16398743829;PERF001        ;PERFUME P/ INTERIORES APOGEU 230ML - AVATIM
16398743637;CALC001	;CALCIO DE ALGA MARINHA 120 CAPSULAS - OCEAN DROP
16398743574;CREM003;CREME EMULSAO HIDRATANTE FLOR DE CEREJEIRA 300ML - AVATIM
16398743415;PIZZ006;PIZZA VEGETARIANA OLIVA
16383136484;POLP005	;POLPA ACEROLA LARANJA - FRUTO FORTE
16383136467;PIZZ005;PIZZA VEGANA QUATRO QUEIJOS
16383136466;PIZZ004;PIZZA VEGANA MARGUERITA SEM TRIGO
16383136464;PIZZ003;PIZZA VEGANA MARGUERITA
16383136462;PIZZ002;PIZZA VEGANA CALABRESA
16383136436;SABOLE001	;SABONETE EM OLEO CACAU E UCUUBA  210ML - AVATIM
16383136424;MATCH001        ;Matcha OCEAN DROP 125g
16383136402;LEIT001        ;Leite de Castanha-do-Brasil MAHTA 240g
16383136374;GRESHT001        ;Green Shot OCEAN DROP Abacaxi 180g
16383136372;GLUT001        ;GLUTAMINA OCEAN DROP 250G
16383136370;GEL001        ;Gel de Banho AVATIM Lavanda 300g
16383136344;DIFU003        ;Kit Difusor Jardim Brasil AVATIM (3x210ml)
16383136337;CREM001;CREME HIDRATANTE AVATIM CACAU & UCUUBA 200G
16383136336;CREAT004;CREATINA MONOHIDRATADA CENTRAL NUTRITION 100G
16383136334;CREAT003;Creatina Crea Shot XTRATUS 300g
16383136317;COEN001	;COENZIMA Q10 500 MG - OCEAN DROP
16383136272;BARR001;BARRINHA VEGANA
